text_display,video_source,text_emoji,text_clean,word_count,aspect_category,is_sarcastic,sentiment
Raven di cadangkan di awal ekskskksskskkekskskekssk,Youtube,Raven di cadangkan di awal ekskskksskskkekskskekssk,raven di cadangkan di awal ekskskksskskkekskskekssk,6,General,0,Negative
towel tersenyum bahagia,Youtube,towel tersenyum bahagia,towel tersenyum bahagia,3,Pundit,0,Positive
Diam adalah luapan kekecewaan dan ketidakpedulian yg tidak terbatas😮,Youtube,Diam adalah luapan kekecewaan dan ketidakpedulian yg tidak terbatas wajah dengan mulut terbuka,diam adalah luapan kekecewaan dan ketidakpedulian yang tidak terbatas wajah dengan mulut terbuka,13,General,0,Negative
Pengen jadi bintang semua. Gak mau membagi bola😂,Youtube,Pengen jadi bintang semua. Gak mau membagi bola lawak,pengin jadi bintang semua enggak mau membagi bola lawak,9,Player,0,Negative
Sumpah...kl didepan gawang tim indonesia persis main tarkam,Youtube,Sumpah...kl didepan gawang tim indonesia persis main tarkam,sumpahkl didepan gawang tim indonesia persis main tarkam,8,General,0,Negative
"Woolah sedih sedih gimana gitu..
 .itulah PSSI",Youtube,Woolah sedih sedih gimana gitu.. .itulah PSSI,woolah sedih sedih bagaimana begitu itulah pssi,7,Mgmt_General,0,Negative
Erik tohir suruh golin,Youtube,Erik tohir suruh golin,erik tohir suruh golin,4,Mgmt_ET,0,Neutral
"Towel: tor monitor ketua, mission complate ketua. 🤣🤣",Youtube,"Towel: tor monitor ketua, mission complate ketua. ngakak ngakak",towel tor monitor ketua mission complate ketua mengakak mengakak,9,Pundit,0,Positive
Mumet2 federasi dengerin towel 😂,Youtube,Mumet2 federasi dengerin towel lawak,mumet2 federasi mendengarkan towel lawak,5,Mgmt_General,1,Negative
inilah yang diinginkan exco dan pssi kembali ke setelan pabrik..kalau bisa mundur buat apa maju..🤣🤣🤣,Youtube,inilah yang diinginkan exco dan pssi kembali ke setelan pabrik..kalau bisa mundur buat apa maju.. ngakak ngakak ngakak,inilah yang diinginkan exco dan pssi kembali ke setelan pabrikkalau bisa mundur buat apa maju mengakak mengakak mengakak,18,Mgmt_Arya,1,Negative
Minim stategi.. harus nya jens reven starter malah di cadangin. Liat pas masuk jens riven 2 goal di sumbangin,Youtube,Minim stategi.. harus nya jens reven starter malah di cadangin. Liat pas masuk jens riven 2 goal di sumbangin,minim stategi harus nya jens reven starter malah di cadangin lihat pas masuk jens riven 2 goal di sumbangin,19,General,0,Negative
Raven semangatnya luar biasa....andai dia main dari awal babak 2 kayaknya bisa lolos kita,Youtube,Raven semangatnya luar biasa....andai dia main dari awal babak 2 kayaknya bisa lolos kita,raven semangatnya luar biasaandai dia main dari awal babak 2 kayaknya bisa lolos kita,14,General,0,Positive
"Nonton bola
 Nonton iklan😅",Youtube,Nonton bola Nonton iklan hedeh,menonton bola menonton iklan hedeh,5,Player,0,Negative
Dari pemilihan pemain berpengaruh pada mental dan karakter pemain,Youtube,Dari pemilihan pemain berpengaruh pada mental dan karakter pemain,dari pemilihan pemain berpengaruh pada mental dan karakter pemain,9,Player,0,Neutral
"Asli ntn persib terasa lebih greget, semoga timnas makin bagus silahkan bung towel pilih pelatih yang bagus hehhehe",Youtube,"Asli ntn persib terasa lebih greget, semoga timnas makin bagus silahkan bung towel pilih pelatih yang bagus hehhehe",asli menonton persib terasa lebih greget semoga timnas makin bagus silakan bung towel pilih pelatih yang bagus hehhehe,18,Player,1,Negative
Timnas yang di inginkan bung towell,Youtube,Timnas yang di inginkan bung towell,timnas yang di inginkan bung towell,6,Player,0,Neutral
"Pelatihnya itu"""" saja
 Kalau tidak indra safri / nova / bima sakti",Youtube,"Pelatihnya itu"""" saja Kalau tidak indra safri / nova / bima sakti",pelatihnya itu saja kalau tidak indra safri nova bima sakti,10,Coach_Indra,0,Neutral
Kembali ke setelan awal,Youtube,Kembali ke setelan awal,kembali ke setelan awal,4,General,0,Neutral
aduh main kaya gini....bisa babak belur kalau lawan thailand atau vietnam,Youtube,aduh main kaya gini....bisa babak belur kalau lawan thailand atau vietnam,aduh main kayak ginibisa babak belur kalau lawan thailand atau vietnam,11,General,0,Negative
Sebuah kemunduran 😂,Youtube,Sebuah kemunduran lawak,sebuah kemunduran lawak,3,General,0,Negative
Aduh Semi final aja udah gak bisa,Youtube,Aduh Semi final aja udah gak bisa,aduh semi final saja sudah enggak bisa,7,General,0,Negative
INI LAH GAMBARAN DARI LOKAL PRET😂,Youtube,INI LAH GAMBARAN DARI LOKAL PRET lawak,ini lah gambaran dari lokal pret lawak,7,Player,1,Negative
Era mafia kembali 🤭,Youtube,Era mafia kembali ups,era mafia kembali ups,4,General,0,Negative
"Andaikan sty yang ngelatih tapi hasil nya seperti ini. 
 Pasti yang ngehujat tuju hari tuju malam",Youtube,Andaikan sty yang ngelatih tapi hasil nya seperti ini. Pasti yang ngehujat tuju hari tuju malam,andaikan sty yang ngelatih tapi hasil nya seperti ini pasti yang menghujat tuju hari tuju malam,16,Coach_STY,0,Negative
sisapri kemarin Jen raven di cadangin malah maenin Arjuna pemain tarkam,Youtube,sisapri kemarin Jen raven di cadangin malah maenin Arjuna pemain tarkam,sisapri kemarin jen raven di cadangin malah maenin arjuna pemain tarkam,11,Player,0,Negative
Layak tidak lolos karena tujuannya bukan mau lolos hanya main bola saja..,Youtube,Layak tidak lolos karena tujuannya bukan mau lolos hanya main bola saja..,layak tidak lolos karena tujuannya bukan mau lolos hanya main bola saja,12,Player,0,Negative
Yang masang iklan IQ nya 65,Youtube,Yang masang iklan IQ nya 65,yang masang iklan iq nya 65,6,General,0,Negative
"Kembali ke mode awal. Goal nya kalau ga bola mati , bola liar. Ketemu tim yg mainnya taktis dan rapi, abis kita 😂😂😂",Youtube,"Kembali ke mode awal. Goal nya kalau ga bola mati , bola liar. Ketemu tim yg mainnya taktis dan rapi, abis kita lawak lawak lawak",kembali ke mode awal goal nya kalau enggak bola mati bola liar ketemu tim yang mainnya taktis dan rapi habis kita lawak lawak lawak,24,Player,1,Negative
Selamat untuk timnas yg berhasil angkat koper,Youtube,Selamat untuk timnas yg berhasil angkat koper,selamat untuk timnas yang berhasil angkat koper,7,Player,1,Negative
Kadek2 kepala atau apa tu😂,Youtube,Kadek2 kepala atau apa tu lawak,kadek2 kepala atau apa itu lawak,6,General,1,Negative
"andai Raven masuk dari babak pertama, bisa jadi lolos ke babak semifinal. Tetap semangat timnas Indonesia, yuk bangkit, pastikan esok lebih baik dari hari ini.",Youtube,"andai Raven masuk dari babak pertama, bisa jadi lolos ke babak semifinal. Tetap semangat timnas Indonesia, yuk bangkit, pastikan esok lebih baik dari hari ini.",andai raven masuk dari babak pertama bisa jadi lolos ke babak semifinal tetap semangat timnas indonesia yuk bangkit pastikan esok lebih baik dari hari ini,25,Player,0,Positive
Jdi timnas muda ggal lolos ini 😢😢😢😢,Youtube,Jdi timnas muda ggal lolos ini wajah menangis wajah menangis wajah menangis wajah menangis,jadi timnas muda ggal lolos ini wajah menangis wajah menangis wajah menangis wajah menangis,14,Player,0,Negative
Alhamdulillah Malaysia lolos ke final. Insyaallah Thailand juara.,Youtube,Alhamdulillah Malaysia lolos ke final. Insyaallah Thailand juara.,alhamdulillah malaysia lolos ke final insyaallah thailand juara,8,General,0,Positive
Selamat utk PSSI dan jajarannya...,Youtube,Selamat utk PSSI dan jajarannya...,selamat untuk pssi dan jajarannya,5,Mgmt_General,0,Positive
Kalian sadar ga sih pas Indonesia sedang terpuruk towel ngak muncul² pasti dia senang kali wel wel.,Youtube,Kalian sadar ga sih pas Indonesia sedang terpuruk towel ngak muncul² pasti dia senang kali wel wel.,kalian sadar enggak sih pas indonesia sedang terpuruk towel enggak muncul pasti dia senang kali wel wel,17,Pundit,1,Negative
"Indra sapi setiap gol selalu sujud , tapi jarang sholat",Youtube,"Indra sapi setiap gol selalu sujud , tapi jarang sholat",indra sapi setiap gol selalu sujud tapi jarang sholat,9,Coach_Indra,0,Negative
